Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
261,tt0097165,2020-06-08,2020-06-08,,Dead Poets Society,https://www.imdb.com/title/tt0097165/,movie,8.1,128,1989,"Comedy, Drama",538460,1989-06-02,Peter Weir,,
262,tt0372784,2020-06-08,2020-06-08,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Crime, Drama",1564040,2005-05-31,Christopher Nolan,,
263,tt4034228,2020-06-08,2020-06-08,,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,309389,2016-01-23,Kenneth Lonergan,,
264,tt0332379,2020-06-11,2020-06-11,,School of Rock,https://www.imdb.com/title/tt0332379/,movie,7.2,109,2003,"Comedy, Music",327681,2003-09-09,Richard Linklater,,
265,tt0119116,2020-06-15,2020-06-15,,Le cinquième élément,https://www.imdb.com/title/tt0119116/,movie,7.6,126,1997,"Action, Adventure, Sci-Fi",501711,1997-05-07,Luc Besson,,
266,tt0081505,2020-06-15,2020-06-15,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",1096124,1980-05-23,Stanley Kubrick,,
267,tt0120832,2020-06-16,2020-06-16,,Snake Eyes,https://www.imdb.com/title/tt0120832/,movie,6.1,98,1998,"Crime, Mystery, Thriller",86236,1998-07-30,Brian De Palma,,
268,tt0104684,2020-06-16,2020-06-16,,Lat sau san taam,https://www.imdb.com/title/tt0104684/,movie,7.7,128,1992,"Action, Crime, Thriller",53660,1992-03-21,John Woo,,
269,tt0808509,2020-06-16,2020-06-16,,Tom yum goong: The game,https://www.imdb.com/title/tt0808509/,videoGame,6.6,,2005,Action,161,2005-12-31,Prachya Pinkaew,,
270,tt2055789,2020-06-16,2020-06-16,,The Turbo Charged Prelude for 2 Fast 2 Furious,https://www.imdb.com/title/tt2055789/,video,6.0,6,2003,"Short, Action, Sport",5839,2003-06-03,Philip G. Atwell,,
271,tt1538503,2020-06-16,2020-06-16,,Los Bandoleros,https://www.imdb.com/title/tt1538503/,video,5.6,20,2009,"Short, Action, Drama, Family",5747,2009-07-28,Vin Diesel,,
272,tt1560747,2020-06-18,2020-06-18,,The Master,https://www.imdb.com/title/tt1560747/,movie,7.1,138,2012,"Drama, History",185069,2012-09-01,Paul Thomas Anderson,,
273,tt1791528,2020-06-18,2020-06-18,,Inherent Vice,https://www.imdb.com/title/tt1791528/,movie,6.6,148,2014,"Comedy, Crime, Drama, Mystery, Romance",110008,2014-10-04,Paul Thomas Anderson,,
274,tt0190590,2020-06-18,2020-06-18,,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,movie,7.7,107,2000,"Adventure, Comedy, Crime, Music",328636,2000-05-13,"Joel Coen, Ethan Coen",,
275,tt0181875,2020-06-18,2020-06-18,,Almost Famous,https://www.imdb.com/title/tt0181875/,movie,7.9,122,2000,"Adventure, Comedy, Drama, Music",291552,2000-09-08,Cameron Crowe,,
276,tt0196229,2020-06-18,2020-06-18,,Zoolander,https://www.imdb.com/title/tt0196229/,movie,6.5,90,2001,Comedy,289729,2001-09-28,Ben Stiller,,
277,tt0230600,2020-06-18,2020-06-18,,The Others,https://www.imdb.com/title/tt0230600/,movie,7.6,101,2001,"Horror, Mystery, Thriller",390467,2001-08-02,Alejandro Amenábar,,
